celltypes,interaction,zscores,order,log2_mean_CPDB,pvalue_CPDB
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,ADM_CALCRL,7.72842744105382,1,5.189,0
E95_Endothelial|E95_Endothelial,COL4A1_ITGA2,7.43667561056809,2,7.463,0
E95_Hepatoblasts|E95_Endothelial,CDH1_PTPRM,7.30265866558332,3,1.279,0
E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9)|E95_Sinus Venosus (Tnnt2, Vsln1),CTGF_ERBB4,7.10158533256891,4,1.357,0
E95_Endothelial|E95_Sinus Venosus (Tnnt2, Vsln1),COL4A1_ITGB8,7.01131970812179,5,7.813,0
E95_Endothelial|E95_Endothelial,COL4A1_CD93,6.75209634453786,6,9.43,0
E95_Endothelial|E95_Endothelial,COL4A2_CD93,6.73669415571011,7,5.845,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,COL4A6_ITGA2,6.71593524913801,8,1.26,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,COL4A5_ITGA2,6.64260815074133,9,2.014,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,ANGPT1_TEK,6.51541552743888,10,6.617,0
E95_Hepatoblasts|E95_Sinus Venosus (Tnnt2, Vsln1),CDH1_CDH2,6.48783250675134,11,5.304,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Hepatoblasts,EPHB1_RELN,6.34718818959762,12,4.359,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9),VCAN_ITGA4,6.3124111672083,13,18.288,0
E95_Hepatoblasts|E95_Hepatoblasts,PTPRF_CDH1,6.14863650569619,14,2.338,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,ANGPT1_ITGA5,6.13245096476802,15,4.739,0
E95_Endothelial|E95_Endothelial,SEMA6D_KDR,6.08479582077872,16,8.762,0
E95_Hepatoblasts|E95_Endothelial,CDH1_a2b1 complex,6.0499121153367,17,1.095,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,ADM_RAMP2,6.04777589579077,18,5.607,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,ADM_RAMP2 complex,6.04777589579077,19,5.189,0
E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9)|E95_Endothelial,LAMC1_ITGA2,6.00197486995285,20,1.188,0
E95_Endothelial|E95_Endothelial,HSPG2_ITGA2,5.98544279468488,21,1.682,0
E95_Hepatomesenchyme|E95_Hepatoblasts,PTPRF_CDH1,5.97357213089334,22,2.154,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,COL4A6_CD93,5.94898707173899,23,3.227,0
E95_Hepatoblasts|E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9),CDH1_CDH2,5.94546856176698,24,4.048,0
E95_Endothelial|E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9),COL4A1_ITGA1,5.88367251258784,25,7.152,0
E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9)|E95_Endothelial,COL4A5_ITGA2,5.86971561216402,26,1.551,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,COL4A5_CD93,5.86608080010823,27,3.981,0
E95_Mesenchyme, Liver (Alcam, Wt1, Gata4)|E95_Endothelial,TNC_ITGA2,5.85654015788286,28,1.931,0
E95_Endothelial|E95_Endothelial,COL4A1_a2b1 complex,5.85340291294707,29,7.463,0
E95_Endothelial|E95_Endothelial,COL4A1_ITGB1,5.85340291294707,30,12.284,0
E95_Endothelial|E95_Endothelial,COL4A2_a2b1 complex,5.83562925167068,31,3.878,0
E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9)|E95_Sinus Venosus (Tnnt2, Vsln1),CTGF_IGF2R,5.8129024772026,32,6.132,0
E95_Mesenchyme, Liver (Alcam, Wt1, Gata4)|E95_Late erythroid,B2M_TFRC,5.80647173371229,33,15.183,0
E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9)|E95_Late erythroid,B2M_TFRC,5.80146417909092,34,15.259,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,ANGPT1_ITGB1,5.80084359030413,35,9.531,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Late erythroid,B2M_TFRC,5.80075989172078,36,15.27,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Endothelial,ADM_GPR182,5.78866387658723,37,2.331,0
E95_Late erythroid|E95_Late erythroid,B2M_TFRC,5.7804717291052,38,15.62,0
E95_Hepatomesenchyme|E95_Late erythroid,B2M_TFRC,5.77907186238916,39,15.648,0
E95_Endothelial|E95_Late erythroid,B2M_TFRC,5.76802710259346,40,15.885,0
E95_Sinus Venosus (Tnnt2, Vsln1)|E95_Hepatomesenchyme,ADM_CALCRL,5.76161585437363,41,1.856,0
E95_Hepatoblasts|E95_Mesenchyme, Liver (Alcam, Wt1, Gata4),CDH1_CDH2,5.76101729897415,42,3.499,0
E95_Hepatoblasts|E95_Late erythroid,B2M_TFRC,5.75573001868427,43,16.224,0
E95_Endothelial|E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9),COL4A1_a1b1 complex,5.75105275727162,44,7.152,0
E95_Endothelial|E95_ Liver mesothelium (Tbx18, Upk3b, Sfrp5, Sox9),COL4A1_ITGB1,5.75105275727162,45,11.996,0
E95_Hepatoblasts|E95_Late erythroid,TF_TFRC,5.74866846973141,46,16.565,0
E95_Endothelial|E95_Endothelial,LAMA4_ITGA6,5.74772404263116,47,2.45,0
E95_Hepatomesenchyme|E95_Late erythroid,TF_TFRC,5.74360896703535,48,15.888,0
